,code,addr
0,AL,ALABAMA
1,AK,ALASKA
2,AZ,ARIZONA
3,AR,ARKANSAS
4,CA,CALIFORNIA
5,CO,COLORADO
6,CT,CONNECTICUT
7,DE,DELAWARE
8,DC,DIST. OF COLUMBIA
9,FL,FLORIDA
10,GA,GEORGIA
11,GU,GUAM
12,HI,HAWAII
13,ID,IDAHO
14,IL,ILLINOIS
15,IN,INDIANA
16,IA,IOWA
17,KS,KANSAS
18,KY,KENTUCKY
19,LA,LOUISIANA
20,ME,MAINE
21,MD,MARYLAND
22,MA,MASSACHUSETTS
23,MI,MICHIGAN
24,MN,MINNESOTA
25,MS,MISSISSIPPI
26,MO,MISSOURI
27,MT,MONTANA
28,NC,N. CAROLINA
29,ND,N. DAKOTA
30,NE,NEBRASKA
31,NV,NEVADA
32,NH,NEW HAMPSHIRE
33,NJ,NEW JERSEY
34,NM,NEW MEXICO
35,NY,NEW YORK
36,OH,OHIO
37,OK,OKLAHOMA
38,OR,OREGON
39,PA,PENNSYLVANIA
40,PR,PUERTO RICO
41,RI,RHODE ISLAND
42,SC,S. CAROLINA
43,SD,S. DAKOTA
44,TN,TENNESSEE
45,TX,TEXAS
46,UT,UTAH
47,VT,VERMONT
48,VI,VIRGIN ISLANDS
49,VA,VIRGINIA
50,WV,W. VIRGINIA
51,WA,WASHINGTON
52,WI,WISCONSON
53,WY,WYOMING
54,99,All Other Codes
